objective,epsilon,family,method,iterations,time_seconds,value,distance_to_optimum,value_calls,gradient_calls,hessian_calls,memory_units,final_epsilon
ackley_2d,1e-06,deterministic,gradient_descent,120,0.03892033299780451,9.001093478297447,4.213258463057045,1321,240,0,6,9.999902799734566e-07
ackley_2d,1e-06,deterministic,newton_method,25,0.0041872090005199425,9.001093478297214,4.2132593711733906,526,25,25,6,9.999898540566936e-07
desmos_like_3d,0.01,stochastic,simulated_annealing,250,0.029651167002157308,1.3828034956598483,1.9158693186868663,251,0,0,12,0.01
desmos_like_3d,0.01,stochastic,particle_swarm,180,0.3553256659943145,0.0,0.0,3258,0,0,216,0.01
desmos_like_3d,0.01,deterministic,nelder_mead,160,0.11663204099750146,1.3035524765373847,1.5707963070877453,287,0,0,12,4.947105581588426e+27
desmos_like_3d,0.01,deterministic,gradient_descent,120,0.2906772920032381,3.021189289873294,1.8320198891594845,3403,240,0,9,0.009999999991617324
desmos_like_3d,0.01,deterministic,newton_method,25,0.08584537500428269,10.673659678444759,3.408663382418328,1606,25,25,12,0.010000000002105137
desmos_like_3d,0.0001,stochastic,simulated_annealing,250,0.03076570799748879,1.3828034956599224,1.9158693186868687,251,0,0,12,0.0001
desmos_like_3d,0.0001,stochastic,particle_swarm,180,0.3612541249967762,0.0,0.0,3258,0,0,216,0.0001
desmos_like_3d,0.0001,deterministic,nelder_mead,160,0.1199280840010033,1.3035524546402688,1.5707963101664077,288,0,0,12,4.947105577880536e+25
desmos_like_3d,0.0001,deterministic,gradient_descent,120,0.293149707998964,3.02118928992343,1.8320198891691681,3403,240,0,9,9.999999522525658e-05
desmos_like_3d,0.0001,deterministic,newton_method,25,0.08728429199982202,10.673659678451976,3.4086633824194124,1606,25,25,12,9.99999998852451e-05
desmos_like_3d,1e-06,stochastic,simulated_annealing,250,0.03113712499907706,1.382803495659551,1.9158693186875058,251,0,0,12,1e-06
desmos_like_3d,1e-06,stochastic,particle_swarm,180,0.379472791995795,0.0,0.0,3258,0,0,216,1e-06
desmos_like_3d,1e-06,deterministic,nelder_mead,160,0.12648337499558693,1.3035524707333006,1.5707963088519756,287,0,0,12,4.9471063942798934e+23
desmos_like_3d,1e-06,deterministic,gradient_descent,120,0.2966134169982979,3.0211892898541692,1.8320198891489914,3403,240,0,9,9.999908554000572e-07
desmos_like_3d,1e-06,deterministic,newton_method,25,0.08440220800548559,10.673659678448985,3.4086633824184003,1606,25,25,12,1.0000001318832702e-06
