problem,method,success_rate,mae_mean,time_sec_mean,func_calls_mean,peak_memory_kib_mean
himmelblau,gradient_descent,1.0,3.054464555314281e-19,0.0019031916356955965,372.0,1.4248046875
matyas,gradient_descent,1.0,4.2977861566318217e-17,0.0036466666497290134,1157.0,5.672200520833333
rastrigin,differential_evolution,0.8333333333333334,0.10696820138314041,0.6925890166700507,1860.8333333333333,10.830078125
