problem,method,converged,f_best,quality_success,iterations,time_sec,func_calls,peak_memory_kib,run
matyas,gradient_descent,True,4.297786156631822e-17,1.0,193,0.004627499962225556,1157,7.7275390625,0
matyas,gradient_descent,True,4.297786156631822e-17,1.0,193,0.005206099944189191,1157,7.4462890625,1
matyas,gradient_descent,True,4.297786156631822e-17,1.0,193,0.002665499923750758,1157,5.3291015625,2
matyas,gradient_descent,True,4.297786156631822e-17,1.0,193,0.0035474998876452446,1157,5.3212890625,3
matyas,gradient_descent,True,4.297786156631822e-17,1.0,193,0.0025978999910876155,1157,5.3134765625,4
matyas,gradient_descent,True,4.297786156631822e-17,1.0,193,0.003348900005221367,1157,5.3056640625,5
matyas,gradient_descent,True,4.297786156631822e-17,1.0,193,0.0033836999209597707,1157,5.2900390625,6
matyas,gradient_descent,True,4.297786156631822e-17,1.0,193,0.0034278000239282846,1157,5.2822265625,7
matyas,gradient_descent,True,4.297786156631822e-17,1.0,193,0.004301700042560697,1157,5.2744140625,8
matyas,gradient_descent,True,4.297786156631822e-17,1.0,193,0.0028377000708132982,1157,5.2666015625,9
matyas,gradient_descent,True,4.297786156631822e-17,1.0,193,0.004309799987822771,1157,5.2587890625,10
matyas,gradient_descent,True,4.297786156631822e-17,1.0,193,0.0035059000365436077,1157,5.2509765625,11
matyas,nelder_mead,True,8.339891592885567e-10,1.0,33,0.0009684000397101045,259,1.62109375,0
matyas,nelder_mead,True,8.339891592885567e-10,1.0,33,0.0005530000198632479,259,1.61328125,1
matyas,nelder_mead,True,8.339891592885567e-10,1.0,33,0.0005527000175788999,259,1.59765625,2
matyas,nelder_mead,True,8.339891592885567e-10,1.0,33,0.0005428999429568648,259,1.58984375,3
matyas,nelder_mead,True,8.339891592885567e-10,1.0,33,0.0005342999938875437,259,1.58203125,4
matyas,nelder_mead,True,8.339891592885567e-10,1.0,33,0.0005455999635159969,259,1.57421875,5
matyas,nelder_mead,True,8.339891592885567e-10,1.0,33,0.0005457999650388956,259,1.56640625,6
matyas,nelder_mead,True,8.339891592885567e-10,1.0,33,0.0009392999345436692,259,1.55859375,7
matyas,nelder_mead,True,8.339891592885567e-10,1.0,33,0.000561599968932569,259,1.55078125,8
matyas,nelder_mead,True,8.339891592885567e-10,1.0,33,0.0010769999353215098,259,1.54296875,9
matyas,nelder_mead,True,8.339891592885567e-10,1.0,33,0.0005457999650388956,259,1.52734375,10
matyas,nelder_mead,True,8.339891592885567e-10,1.0,33,0.0005501999985426664,259,1.51953125,11
matyas,simulated_annealing,True,0.0007439505834679717,1.0,1972,0.3775298000546172,1973,25.8798828125,0
matyas,simulated_annealing,False,0.0019001708871624191,0.0,2471,0.4408721999498084,2472,27.3046875,1
matyas,simulated_annealing,True,0.0009114094811310319,1.0,1310,0.23850430001039058,1311,18.26171875,2
matyas,simulated_annealing,True,0.00028593535236901176,1.0,1224,0.36778199998661876,1225,17.1953125,3
matyas,simulated_annealing,True,8.844003956738386e-05,1.0,1163,0.3650262000737712,1164,17.1875,4
matyas,simulated_annealing,True,9.575633108599335e-05,1.0,1322,0.4448282999219373,1323,18.36328125,5
matyas,simulated_annealing,True,0.000453663120284531,1.0,1814,0.6613927000435069,1815,23.1953125,6
matyas,simulated_annealing,False,0.0010682651850058133,0.0,2471,0.8564115000190213,2472,27.2421875,7
matyas,simulated_annealing,True,9.02932219805911e-05,1.0,1391,0.48624019999988377,1392,18.296875,8
matyas,simulated_annealing,True,0.00041680793102547974,1.0,640,0.23605030006729066,641,12.5390625,9
matyas,simulated_annealing,True,0.0005476957645213034,1.0,808,0.2894112999783829,809,14.1328125,10
matyas,simulated_annealing,True,0.0001159689658335059,1.0,1288,0.44990090001374483,1289,18.1875,11
matyas,differential_evolution,True,0.0006604932265745541,1.0,14,0.16721250000409782,525,11.9248046875,0
matyas,differential_evolution,True,0.0005871965325084643,1.0,10,0.12744980002753437,385,10.3232421875,1
matyas,differential_evolution,True,0.00023728238533109538,1.0,10,0.11584640003275126,385,10.3466796875,2
matyas,differential_evolution,True,0.0009977434074380088,1.0,10,0.11575230001471937,385,10.2880859375,3
matyas,differential_evolution,True,1.0949557359370198e-05,1.0,12,0.1339553000871092,455,10.2998046875,4
matyas,differential_evolution,True,0.0007636512536672631,1.0,13,0.15518810006324202,490,10.2998046875,5
matyas,differential_evolution,True,0.0003234340212438406,1.0,13,0.14913689997047186,490,10.3388671875,6
matyas,differential_evolution,True,0.0009478936792303039,1.0,12,0.14482739998493344,455,10.2763671875,7
matyas,differential_evolution,True,0.0006123700923077846,1.0,10,0.12493170006200671,385,10.2763671875,8
matyas,differential_evolution,True,0.0007027169630892398,1.0,14,0.17779149999842048,525,10.3076171875,9
matyas,differential_evolution,True,0.00034665495530910705,1.0,17,0.21410999994259328,630,10.3310546875,10
matyas,differential_evolution,True,0.0006486424399490726,1.0,5,0.07084459997713566,210,10.0654296875,11
